Unnamed: 0,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category
2867,000312165.jpg,907,652,832,603,853,487,909,528,859,679,878,723,881,508,887,315,886.671,317.4593,908.329,155.5407,665,239,750,297,851,276,923,353,907,444,847,404,4.900821156,"pushing a wheelchair, non-occupational",walking
5659,000338399.jpg,401,404,385,326,348,241,366,246,373,322,369,416,357,244,377,128,368.6861,103.0582,350.3139,47.9418,324,231,343,190,348,133,405,122,407,187,395,237,1.742935455,"diving, springboard or platform",water activities
6345,000346846.jpg,890,563,768,408,886,241,861,241,679,346,752,568,874,241,664,169,648.8594,159.3563,522.1406,78.6437,568,319,661,307,690,160,638,177,619,317,520,330,4.507210224,"bicycling, racing and road",bicycling
3738,000350466.jpg,756,727,769,510,841,390,912,398,909,543,923,740,877,394,867,239,864.9582,253.7011,889.0418,80.2989,668,453,709,338,778,231,956,247,994,406,991,505,5.251998477,"bicycling, mountain",bicycling
4884,000354899.jpg,338,372,328,315,314,229,291,246,282,340,281,400,303,238,287,167,278.871,154.8064,253.12900000000002,116.1936,212,222,250,199,292,160,282,174,278,229,253,254,1.392206881,"cleaning windows, washing windows, general",home activities
5832,000360424.jpg,358,379,374,288,385,211,422,209,435,300,453,381,404,210,382,125,381.3887,120.9651,372.6113,63.0349,313,125,350,154,370,109,393,141,394,201,381,258,1.757744009,golf,sports
2105,000365631.jpg,500,652,502,507,480,353,569,342,610,467,625,569,525,348,582,160,577.5623,196.981,592.4377,73.01899999999999,677,398,575,311,534,174,629,145,675,278,698,371,3.7455381460000003,felling trees,lawn and garden
1832,000391837.jpg,318,118,353,193,374,92,426,110,401,199,366,130,400,101,504,103,510.7964,103.3021,587.2036,106.6979,512,275,495,212,487,127,520,78,534,147,550,200,2.294480333,"masonry, concrete",occupation
5316,000392606.jpg,629,624,603,531,626,352,696,355,684,510,677,622,661,354,672,164,673.8738,123.0115,678.1262,29.9885,578,359,598,250,607,159,736,168,744,266,746,349,2.793604124,"home exercise, general",conditioning exercise
3763,000410145.jpg,223,391,279,313,335,259,370,259,350,323,307,417,353,259,345,150,337.8651,129.5594,315.1349,64.4406,288,273,294,209,305,155,384,144,404,207,357,189,2.06915635,"upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate",conditioning exercise
3454,000412715.jpg,522,671,667,475,452,619,363,601,497,423,522,613,408,610,508,267,526.8629,250.9355,671.1371,128.0645,779,357,714,410,566,307,450,226,456,348,563,359,5.68516385,"farming, milking by hand, cleaning pails, moderate effort",occupation
4853,000419716.jpg,906,889,919,638,860,441,991,417,999,630,1071,881,926,429,874,181,875.1352,191.2927,857.8648,34.7073,727,467,714,340,764,201,983,161,1087,252,1143,350,4.726050358999999,"skating, ice",winter activities
637,000436327.jpg,381,192,389,151,413,96,451,84,544,127,474,158,432,90,411,15,411.08,19.6413,412.92,126.3587,316,339,335,228,363,22,459,7,540,67,490,140,3.201999375,"cleaning, general",home activities
6115,000437064.jpg,807,464,657,342,880,410,869,437,677,561,890,530,875,424,822,121,804.3063,107.3169,689.6937,18.6831,826,272,929,262,867,113,776,129,766,324,650,301,4.346584866000001,automobile repair,home repair
4453,000440161.jpg,529,634,542,495,559,346,622,341,639,505,649,634,591,344,619,173,627.6692,152.4828,670.3308,51.5172,516,352,525,266,548,158,690,188,691,309,705,398,3.288262763,resistance training,conditioning exercise
6784,000460055.jpg,973,457,809,347,662,210,623,221,780,375,962,483,643,216,429,221,399.8517,228.2087,272.1483,259.7913,536,452,517,342,465,206,392,236,418,385,431,526,3.94652252,"slide board exercise, general",conditioning exercise
2851,000502550.jpg,558,612,560,492,555,359,614,347,643,490,635,591,585,353,566,202,575.9031,176.6482,606.0969,99.3518,476,235,483,274,513,201,619,203,651,258,667,272,2.489530076,custodial work,occupation
4431,000521252.jpg,50,282,182,281,286,270,278,327,164,321,57,322,282,299,433,260,439.3809,255.1628,488.6191,217.8372,536,194,470,200,421,228,445,292,511,279,554,251,1.853601899,"skindiving, scuba diving, snorkeling",water activities
2344,000534899.jpg,578,503,638,468,613,503,481,479,425,468,466,586,547,491,613,282,625.2369,248.9273,674.7631,115.0727,588,152,615,241,688,309,537,255,481,218,555,144,4.28169686,"canoeing, kayaking, rowing, competitive",water activities
568,000550580.jpg,750,929,707,760,679,551,808,553,836,752,853,949,744,552,746,278,745.2733,243.2985,742.7267,121.7015,546,404,566,377,644,283,848,273,916,367,942,399,3.648710457,Irish step dancing,dancing
3377,000559416.jpg,916,1047,1001,901,1071,682,1138,722,1185,895,1159,1055,1105,702,1274,511,1298.2698,484.1142,1416.7302,352.8858,1127,708,1080,576,1214,451,1334,571,1433,696,1524,757,5.303619896,"cleaning, general",home activities
7004,000568822.jpg,467,336,456,275,464,197,436,190,406,245,366,300,450,194,435,120,434.1485,122.4236,448.8515,80.5764,403,97,437,106,459,119,411,121,362,119,322,111,1.330647962,rock climbing,sports
389,000575866.jpg,914,1003,890,751,837,561,1009,553,952,769,952,820,923,557,916,253,917.426,205.3306,921.574,66.6694,808,440,793,404,816,258,1016,248,1075,394,986,343,4.161699653,jogging,running
3084,000580377.jpg,979,628,997,538,997,437,947,421,1034,423,1032,532,972,429,1004,283,1015.4728,261.1167,1046.5272,201.8833,1098,309,1042,373,1039,291,968,275,907,344,928,280,2.0064057419999997,resistance training,conditioning exercise
3573,000608753.jpg,1100,496,1094,419,1099,357,1130,356,1124,419,1137,498,1115,357,1130,241,1129.6328,231.3315,1127.3672,171.6685,1060,304,1076,301,1087,238,1173,243,1191,301,1158,324,1.791178383,"farming, cultivating field",occupation
1543,000618382.jpg,273,477,313,377,298,266,288,265,310,366,281,478,293,266,301,116,311.5531,103.8835,371.4469,35.1165,389,327,312,240,309,128,292,104,323,180,345,228,2.7357894660000004,"moving furniture, household items, carrying boxes",home activities
6630,000628555.jpg,1406,612,1358,460,1307,302,1404,263,1464,395,1531,588,1356,283,1348,114,1331.2688,145.494,1398.7312,18.506,1165,198,1165,186,1264,133,1432,95,1493,148,1500,141,4.313862307,rollerblading,sports
1056,000637904.jpg,797,625,696,512,727,340,671,357,559,477,673,584,699,349,643,162,641.9194,157.0543,618.0806,47.9457,590,255,646,264,632,166,654,158,733,212,677,268,3.350472206,running,running
1351,000646436.jpg,655,590,647,505,626,370,681,370,700,497,706,615,654,370,659,200,658.5003,161.7736,657.4997,85.2264,533,256,555,272,596,201,721,198,727,277,668,266,2.296613159,"mowing lawn, walk, hand mower (Taylor Code 570)",lawn and garden
6325,000651632.jpg,891,708,819,511,994,523,1035,533,913,821,1100,687,1015,528,868,247,849.8122,222.9741,724.1878,57.0259,886,388,934,323,893,201,843,292,795,540,674,687,6.2440602179999996,"hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)",fishing and hunting
4793,000754109.jpg,356,401,343,289,417,281,390,284,275,320,262,443,404,283,400,143,389.5206,124.137,345.4794,44.863,343,205,422,199,423,139,376,147,392,236,347,276,2.720588172,"drums, sitting",music playing
569,000766403.jpg,1226,745,1161,638,1177,513,1247,524,1242,659,1289,785,1212,519,1223,307,1210.5895,276.0664,1168.4105,170.9336,1045,394,1133,373,1154,303,1291,310,1328,431,1307,429,3.398352542,Irish step dancing,dancing
4744,000769780.jpg,643,283,753,241,883,251,900,262,772,237,667,291,892,257,889,137,886.2525,114.0077,872.7475,0.9922700000000001,779,201,857,190,888,135,890,138,888,217,843,267,3.4145851869999997,"bicycling, BMX",bicycling
3634,000784492.jpg,347,377,348,319,386,233,359,247,354,309,354,385,373,240,297,193,292.0948,193.1663,242.9052,194.8337,270,274,290,238,298,177,295,209,297,251,271,283,1.476536488,"masonry, concrete",occupation
5710,000805262.jpg,838,433,813,382,826,317,815,323,777,386,792,460,821,320,823,209,825.2984,190.6124,834.7016,115.3876,803,294,833,259,843,208,803,210,800,261,785,310,2.274308686,forestry,occupation
3867,000810094.jpg,1181,561,1208,371,1342,340,1434,350,1335,379,1316,581,1388,345,1273,280,1322.3862,280.0,1188.6138,280.0,1174,369,1164,405,1210,278,1335,282,1325,427,1251,364,4.013170318,"skiing, downhill",winter activities
740,000831994.jpg,251,510,257,396,247,303,201,298,214,398,210,502,224,301,241,141,242.4291,138.8968,292.5709,65.1032,318,209,260,223,255,149,227,132,257,218,326,232,2.6765111619999997,fishing from river bank,fishing and hunting
3394,000834974.jpg,529,439,491,393,463,400,472,390,514,383,560,416,468,395,450,336,450.7943,337.869,432.2057,294.131,446,424,426,393,425,345,475,327,499,334,511,311,1.4257292869999998,"farming, driving tasks (e.g., driving tractor or harvester)",occupation
2287,000835470.jpg,1259,942,1240,707,1235,510,1355,481,1315,697,1275,958,1295,496,1203,281,1155.9317,252.2947,1027.0683,173.7053,1160,521,1144,417,1123,308,1283,254,1363,409,1261,494,4.52812014,playing with animals,home activities
7095,000846442.jpg,1057,611,1031,556,1097,549,1068,560,1009,567,1035,637,1083,555,1061,471,1056.8481,462.9335,1030.1519,411.0665,1029,501,1064,495,1086,464,1035,477,1007,525,972,528,1.750026286,"moto-cross, off-road motor sports, all-terrain vehicle, general",sports
4229,000848601.jpg,700,566,705,448,731,346,776,341,787,435,789,530,754,344,680,346,674.9051,356.6992,635.0949,440.3008,764,523,724,450,665,375,695,317,738,226,787,283,2.777889847,"carpentry, outside house, building a fence",home repair
3091,000881483.jpg,769,494,778,426,791,350,742,362,747,441,749,493,767,356,748,247,745.2849,243.0027,714.7151,197.9973,829,339,818,290,786,235,710,259,704,316,707,370,1.632176461,"walking, general",walking
6603,000899429.jpg,398,437,398,321,430,213,467,216,528,227,489,329,449,215,444,106,443.2653,91.7958,438.7347,4.2042,391,186,369,147,389,102,498,110,517,154,514,183,2.631258254,"bicycling, stationary",conditioning exercise
745,000905416.jpg,239,490,258,397,243,299,198,298,223,389,195,487,221,299,231,147,232.5729,145.7267,292.4271,97.2733,310,200,273,198,251,151,210,143,258,216,288,230,2.310241546,fishing from river bank,fishing and hunting
6553,000906310.jpg,776,621,831,541,778,422,812,428,840,539,775,624,795,425,790,264,805.1905,269.1539,718.8095,239.8461,780,118,782,189,768,267,812,260,805,192,785,116,2.736526265,"yoga, Power",conditioning exercise
5107,000909418.jpg,311,406,338,335,326,272,338,266,351,328,339,376,332,269,329,198,332.8674,185.0444,345.1326,143.9556,319,282,319,250,318,196,340,199,351,219,393,206,1.286408955,"aerobic, step",dancing
2136,000916555.jpg,1245,783,975,814,1223,556,1381,615,1403,866,1350,978,1302,586,1378,215,1382.6674,217.5234,1127.3326,79.4766,956,345,1074,361,1223,156,1533,274,1499,668,1124,742,8.707899862,snowmobiling,winter activities
5416,000922227.jpg,518,394,514,343,508,262,545,267,531,340,521,405,527,265,535,177,534.5614,174.2041,527.4386,128.7959,494,103,505,135,523,172,547,181,561,135,568,95,1.378903913,"trampoline, competitive",sports
3931,000924231.jpg,674,343,668,304,666,264,684,261,671,302,694,306,675,263,668,211,666.3434,197.0371,662.6566,165.9629,646,238,650,230,653,210,682,211,708,228,685,238,0.9387651459999999,running,running
3878,000955819.jpg,414,385,415,293,455,259,507,248,482,316,525,366,481,254,418,195,399.4909,191.9822,344.5091,183.0178,368,291,406,274,402,222,434,167,487,163,543,158,1.6712342740000001,squash,sports
5055,000958269.jpg,957,824,938,680,985,551,1001,542,898,577,935,701,993,547,949,371,952.6883,350.1469,971.3117,244.8531,757,276,841,335,919,365,978,377,914,466,844,504,3.207840395,fire fighter,occupation
4412,000966627.jpg,1,178,243,566,600,621,736,497,593,466,494,85,668,559,939,434,943.9382,374.6215,975.0618,0.37846,786,829,572,755,705,482,1173,386,1208,749,1180,860,11.26605095,"football, touch, flag",sports
7035,000980053.jpg,511,242,541,361,551,400,659,387,756,331,695,220,605,394,582,334,598.5317,359.506,530.4683,254.49400000000003,424,420,406,404,509,343,654,325,717,367,669,412,3.7542168289999998,"high ropes course, multiple elements",sports
1396,000991070.jpg,785,526,809,381,829,253,879,254,867,371,869,547,854,254,873,110,885.1571,95.0117,933.8429,34.9883,848,235,813,175,844,79,901,140,889,222,893,276,2.318578875,jai alai,sports
647,000992382.jpg,304,409,301,353,304,253,356,253,368,339,354,402,330,253,330,155,330.6051,136.644,332.3949,82.35600000000001,311,271,288,223,296,155,364,155,379,213,356,206,1.6295275390000001,"sweeping garage, sidewalk or outside of house",home activities
814,000997878.jpg,542,592,550,352,681,514,747,538,494,573,226,642,714,526,741,258,723.7806,205.7677,668.2194,37.2323,843,531,812,378,740,246,741,269,679,429,531,396,5.323728017,"yoga, Power",conditioning exercise
1987,001004698.jpg,159,305,146,193,112,90,79,87,89,190,92,281,96,89,163,90,157.7003,92.1485,205.2997,72.8515,163,229,182,163,188,97,137,83,129,154,146,222,1.540867288,roofing,home repair
581,001013118.jpg,305,359,257,297,261,222,301,232,315,295,296,373,281,227,326,200,322.5365,205.7725,362.4635,139.2275,275,275,274,242,297,188,355,212,366,274,370,322,2.328123708,"children_s games, adults playing (e.g., hopscotch, 4-square, dodgeball, playground apparatus, t-ball",sports
4284,001060742.jpg,578,610,573,525,566,432,512,453,507,559,521,642,539,443,514,295,506.6632,248.8053,494.3368,171.1947,624,403,618,351,576,280,451,309,446,391,451,439,2.357503765,snow shoeing,winter activities
2447,001067013.jpg,599,886,712,711,856,484,750,468,789,646,856,814,803,476,904,306,908.7260000000001,282.513,932.2739999999999,165.487,924,395,962,374,960,338,847,273,746,297,635,292,3.581150653,bowling,sports
98,001083765.jpg,930,958,882,792,875,619,933,624,976,812,1048,1002,904,622,1000,386,999.2062,379.2264,985.7938,264.7736,990,181,945,268,947,388,1053,383,1029,268,1022,186,3.4570831639999997,"video exercise workouts, TV conditioning programs",conditioning exercise
3277,001096365.jpg,203,346,243,240,126,331,155,298,222,244,199,331,141,315,137,172,136.6268,172.9227,173.3732,82.0773,246,219,202,230,130,171,143,172,200,215,240,219,2.939877548,tailoring,occupation
3708,001096592.jpg,350,537,378,436,335,340,391,335,449,407,441,514,363,338,436,255,439.8679,251.3411,506.1321,188.6589,441,378,399,309,405,264,467,245,504,292,530,357,2.73642102,"bicycling, mountain",bicycling
234,001099583.jpg,573,783,570,568,532,377,659,401,676,554,642,724,596,389,637,169,655.8117,150.6258,747.1883,61.3742,635,238,499,231,594,140,680,197,688,331,709,415,3.831966597,"farming, taking care of animals (e.g., grooming, brushing, shearing sheep, assisting with birthing,",occupation
3259,001119931.jpg,960,541,900,461,897,310,932,312,929,444,932,593,915,311,943,182,941.2539999999999,149.4083,935.7460000000001,46.5917,774,253,835,224,896,182,990,182,998,277,928,270,3.088922142,"yard work, general",lawn and garden
1085,001130254.jpg,649,575,681,457,654,336,696,331,716,452,710,559,675,334,658,172,667.0165,157.3291,707.9835,90.6709,566,78,598,141,646,164,670,180,630,239,582,302,2.347219632,"tennis, hitting balls, non-game play, moderate effort",sports
2636,001138967.jpg,1354,862,1291,631,1258,447,1376,423,1364,594,1431,821,1317,435,1297,186,1287.7167,154.3738,1247.2833,16.6262,1070,257,1181,346,1205,220,1388,151,1499,269,1405,334,4.306779771,"skiing, cross-country, biathlon, skating technique",winter activities
3540,001143268.jpg,740,553,765,474,812,375,796,378,765,464,818,542,804,377,766,248,753.4392,235.7833,705.5608,189.2167,912,250,859,241,806,227,726,269,702,337,670,382,2.003676621,soccer,sports
3921,001162660.jpg,636,532,627,405,549,296,552,298,476,406,370,472,551,297,558,143,565.8922,127.0638,602.1078,53.9362,511,227,462,182,536,144,580,142,553,238,603,207,2.448117644,running,running
6041,001170263.jpg,574,683,583,631,625,620,624,616,561,646,531,687,625,618,652,545,652.1227,542.9544,654.8773,497.0456,624,538,643,546,664,546,639,544,600,534,586,510,1.379739106,windsurfing,water activities
2303,001177988.jpg,469,328,454,273,446,238,468,231,482,264,501,316,457,235,454,181,454.615,179.1549,467.385,140.8451,457,234,432,221,434,187,473,175,475,204,490,225,1.211465229,forestry,occupation
6660,001197869.jpg,445,338,439,247,462,142,509,142,491,235,493,347,486,142,475,44,481.7417,69.6185,463.2583,-0.61852,440,133,401,106,429,45,520,42,561,125,538,143,2.178851073,"skating, ice",winter activities
446,001212077.jpg,474,433,443,402,373,469,358,455,413,360,463,407,366,462,374,372,377.091,347.0786,386.909,267.9214,471,445,425,446,394,376,353,367,400,423,440,416,2.392909526,paddle boat,water activities
5261,001216835.jpg,408,317,440,273,434,172,488,160,499,227,511,324,461,166,462,110,465.6672,107.775,547.3328,58.225,390,268,374,192,418,121,505,99,554,126,574,187,2.865664321,skateboarding,sports
3430,001229066.jpg,527,531,433,454,496,326,535,326,496,469,653,525,516,326,396,227,361.9595,227.8728,235.0405,231.1272,328,431,349,363,347,268,444,185,549,216,613,286,3.80882344,skateboarding,sports
3518,001259261.jpg,801,431,804,333,762,244,750,244,759,317,711,389,756,244,745,89,756.5907,64.0692,786.4093,-0.069165,800,199,783,154,776,96,714,81,665,115,674,169,2.121931196,"fishing, dip net, setting net and retrieving fish, general",fishing and hunting
5543,001272728.jpg,377,372,357,295,366,219,390,219,400,309,404,371,378,219,389,114,385.029,102.3811,365.971,46.6189,348,170,352,145,355,111,422,116,418,177,390,191,1.7678732990000001,walking the dog,walking
5273,001316277.jpg,858,695,717,573,462,660,560,554,809,560,685,584,511,607,521,384,523.3233,356.3313,540.6767,149.6687,259,763,318,592,394,375,647,392,647,590,657,774,6.221696232,skateboarding,sports
1766,001328120.jpg,152,514,379,371,78,408,53,336,336,319,338,477,66,372,188,117,168.27700000000002,122.37899999999999,361.723,69.62100000000001,625,350,396,340,193,179,183,55,305,160,446,166,6.0153403889999995,"home repair, general",home repair
4289,001340481.jpg,444,610,451,510,462,408,422,411,417,495,419,573,442,410,437,279,443.4808,263.2359,467.5192,204.7641,534,345,506,331,471,279,403,278,366,330,333,385,1.896607498,snow shoeing,winter activities
3956,001344404.jpg,572,246,723,238,797,452,808,503,648,315,543,532,803,478,1003,421,1010.3425,408.3987,1069.6575,306.6013,795,455,890,463,960,399,1045,442,1005,538,896,506,3.5345245789999997,reclining,inactivity quiet/light
5957,001361415.jpg,727,606,720,519,709,416,650,418,663,522,667,601,680,417,675,273,669.8316,248.2348,656.1684,182.7652,736,373,767,315,722,262,627,283,607,363,651,341,2.0064057419999997,dog sledding,winter activities
6121,001436736.jpg,835,1053,901,814,950,541,1040,544,1012,795,972,1012,995,543,949,237,956.9429,213.824,1014.0571,47.176,1192,296,1049,317,897,221,1000,252,1037,389,1183,320,5.284906811,"drawing, writing, painting, standing",miscellaneous
6735,001437021.jpg,663,800,740,637,816,487,954,482,1032,619,1017,795,885,485,852,378,852.7966,400.3052,847.2034,243.6948,697,584,697,518,760,390,943,365,1076,454,1004,543,4.701305351,basketball,sports
4418,001462854.jpg,523,557,508,476,514,343,564,347,562,474,508,495,539,345,529,204,528.4555,186.5768,525.5445,93.4232,467,323,438,273,473,213,585,194,608,254,600,310,2.795974249,race walking,walking
3444,001483016.jpg,657,622,692,490,658,310,589,314,546,477,528,616,624,312,620,192,620.0,183.3,620.0,113.7,760,269,722,239,670,192,570,192,534,286,564,267,2.088,hang gliding,sports
2373,001485612.jpg,145,456,31,423,102,317,182,298,323,301,198,410,142,308,155,203,111.4478,207.3552,248.5522,193.6448,182,436,52,391,59,214,251,192,310,290,355,384,4.1336473,"laying tile or linoleum,repairing appliances",home repair
